"9002799","Easton","04740,Maine,United States","21154","US","Postal Code","Active"
"9002800","Fort Fairfield","04742,Maine,United States","21154","US","Postal Code","Active"
"9002801","Fort Kent","04743,Maine,United States","21154","US","Postal Code","Active"
"9002802","Frenchville","04745,Maine,United States","21154","US","Postal Code","Active"
"9002803","Grand Isle","04746,Maine,United States","21154","US","Postal Code","Active"
"9002804","Island Falls","04747,Maine,United States","21154","US","Postal Code","Active"
"9002805","Limestone","04750,Maine,United States","21154","US","Postal Code","Active"
"9002806","Madawaska","04756,Maine,United States","21154","US","Postal Code","Active"
"9002807","Mapleton","04757,Maine,United States","21154","US","Postal Code","Active"
"9002808","Mars Hill","04758,Maine,United States","21154","US","Postal Code","Active"
"9002809","Monticello","04760,Maine,United States","21154","US","Postal Code","Active"
"9002810","New Limerick","04761,Maine,United States","21154","US","Postal Code","Active"
"9002811","New Sweden","04762,Maine,United States","21154","US","Postal Code","Active"
"9002812","Oakfield","04763,Maine,United States","21154","US","Postal Code","Active"
"9002813","Oxbow","04764,Maine,United States","21154","US","Postal Code","Active"
"9002814","Patten","04765,Maine,United States","21154","US","Postal Code","Active"
"9002815","Perham","04766,Maine,United States","21154","US","Postal Code","Active"
"9002816","Portage","04768,Maine,United States","21154","US","Postal Code","Active"
"9002817","Presque Isle","04769,Maine,United States","21154","US","Postal Code","Active"
"9002818","Saint Agatha","04772,Maine,United States","21154","US","Postal Code","Active"
"9002819","Saint David","04773,Maine,United States","21154","US","Postal Code","Active"
"9002820","Saint Francis","04774,Maine,United States","21154","US","Postal Code","Active"
"9002821","Sherman","04776,Maine,United States","21154","US","Postal Code","Active"
"9002822","Stacyville","04777,Maine,United States","21154","US","Postal Code","Active"
"9002823","Sinclair","04779,Maine,United States","21154","US","Postal Code","Active"
"9002824","Smyrna Mills","04780,Maine,United States","21154","US","Postal Code","Active"
"9002825","Wallagrass","04781,Maine,United States","21154","US","Postal Code","Active"
"9002826","Stockholm","04783,Maine,United States","21154","US","Postal Code","Active"
"9002827","Van Buren","04785,Maine,United States","21154","US","Postal Code","Active"
"9002828","Washburn","04786,Maine,United States","21154","US","Postal Code","Active"
"9002829","Westfield","04787,Maine,United States","21154","US","Postal Code","Active"
"9002833","Islesboro","04848,Maine,United States","21154","US","Postal Code","Active"
"9002835","Matinicus","04851,Maine,United States","21154","US","Postal Code","Active"
"9002836","Monhegan","04852,Maine,United States","21154","US","Postal Code","Active"
"9002837","North Haven","04853,Maine,United States","21154","US","Postal Code","Active"
"9002846","Vinalhaven","04863,Maine,United States","21154","US","Postal Code","Active"
