"1019264","East Lansing","East Lansing,Michigan,United States","21155","US","City","Active","48826","242","Lansing - Eradico Pest","19","Eradico","iRIS","East Lansing","MI","0"
"9017203","East Lansing","48823,Michigan,United States","21155","US","Postal Code","Active","48826","242","Lansing - Eradico Pest","19","Eradico","iRIS","East Lansing","MI","0"
"9017204","East Lansing","48824,Michigan,United States","21155","US","Postal Code","Active","48826","242","Lansing - Eradico Pest","19","Eradico","iRIS","East Lansing","MI","0"
"9054076","East Lansing","48825,Michigan,United States","21155","US","Postal Code","Active","48826","242","Lansing - Eradico Pest","19","Eradico","iRIS","East Lansing","MI","0"
"1015975","Palo","Palo,Iowa,United States","21145","US","City","Active","48870","243","Western Michigan - Eradico Pest","19","Eradico","iRIS","Palo","MI","186"
"9018536","Palo","52324,Iowa,United States","21145","US","Postal Code","Active","48870","243","Western Michigan - Eradico Pest","19","Eradico","iRIS","Palo","MI","186"
"1014934","Smyrna","Smyrna,Delaware,United States","21141","US","City","Active","48887","242","Lansing - Eradico Pest","19","Eradico","iRIS","Smyrna","MI","0"
"1015507","Smyrna","Smyrna,Georgia,United States","21143","US","City","Active","48887","242","Lansing - Eradico Pest","19","Eradico","iRIS","Smyrna","MI","0"
"1023373","Smyrna","Smyrna,New York,United States","21167","US","City","Active","48887","242","Lansing - Eradico Pest","19","Eradico","iRIS","Smyrna","MI","0"
"1026132","Smyrna","Smyrna,Tennessee,United States","21175","US","City","Active","48887","242","Lansing - Eradico Pest","19","Eradico","iRIS","Smyrna","MI","0"
"9005266","Smyrna","13464,New York,United States","21167","US","Postal Code","Active","48887","242","Lansing - Eradico Pest","19","Eradico","iRIS","Smyrna","MI","0"
"9007522","Smyrna","19977,Delaware,United States","21141","US","Postal Code","Active","48887","242","Lansing - Eradico Pest","19","Eradico","iRIS","Smyrna","MI","0"
"9010177","Smyrna","28579,North Carolina,United States","21160","US","Postal Code","Active","48887","242","Lansing - Eradico Pest","19","Eradico","iRIS","Smyrna","MI","0"
"9010690","Smyrna","29743,South Carolina,United States","21173","US","Postal Code","Active","48887","242","Lansing - Eradico Pest","19","Eradico","iRIS","Smyrna","MI","0"
"9010802","Smyrna","30080,Georgia,United States","21143","US","Postal Code","Active","48887","242","Lansing - Eradico Pest","19","Eradico","iRIS","Smyrna","MI","0"
"9010803","Smyrna","30082,Georgia,United States","21143","US","Postal Code","Active","48887","242","Lansing - Eradico Pest","19","Eradico","iRIS","Smyrna","MI","0"
"9013165","Smyrna","37167,Tennessee,United States","21175","US","Postal Code","Active","48887","242","Lansing - Eradico Pest","19","Eradico","iRIS","Smyrna","MI","0"
"9002708","Winn","04495,Maine,United States","21154","US","Postal Code","Active","48896","242","Lansing - Eradico Pest","19","Eradico","iRIS","Winn","MI","226"
"1019144","Battle Creek","Battle Creek,Michigan,United States","21155","US","City","Active","49018","243","Western Michigan - Eradico Pest","19","Eradico","iRIS","Battle Creek","MI","0"
"1021606","Battle Creek","Battle Creek,Nebraska,United States","21162","US","City","Active","49018","243","Western Michigan - Eradico Pest","19","Eradico","iRIS","Battle Creek","MI","0"
"9017282","Battle Creek","49014,Michigan,United States","21155","US","Postal Code","Active","49018","243","Western Michigan - Eradico Pest","19","Eradico","iRIS","Battle Creek","MI","0"
