"9016876","Hamburg","48139,Michigan,United States","21155","US","Postal Code","Active","48139","242","Lansing - Eradico Pest","19","Eradico","iRIS","Hamburg","MI","140","yes"
"9016877","Ida","48140,Michigan,United States","21155","US","Postal Code","Active","48140","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Ida","MI","3425","yes"
"9016878","Inkster","48141,Michigan,United States","21155","US","Postal Code","Active","48141","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Inkster","MI","24738","yes"
"9054078","Lakeland","48143,Michigan,United States","21155","US","Postal Code","Active","48143","242","Lansing - Eradico Pest","19","Eradico","iRIS","Lakeland","MI","0","yes"
"9016879","Lambertville","48144,Michigan,United States","21155","US","Postal Code","Active","48144","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Lambertville","MI","9649","yes"
"9016880","La Salle","48145,Michigan,United States","21155","US","Postal Code","Active","48145","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","La Salle","MI","3385","yes"
"9016881","Lincoln Park","48146,Michigan,United States","21155","US","Postal Code","Active","48146","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Lincoln Park","MI","37037","yes"
"9016882","Livonia","48150,Michigan,United States","21155","US","Postal Code","Active","48150","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Livonia","MI","25905","yes"
"9016883","Livonia","48152,Michigan,United States","21155","US","Postal Code","Active","48152","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Livonia","MI","31172","yes"
"9016884","Livonia","48154,Michigan,United States","21155","US","Postal Code","Active","48154","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Livonia","MI","37772","yes"
"9016885","Luna Pier","48157,Michigan,United States","21155","US","Postal Code","Active","48157","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Luna Pier","MI","1395","yes"
"9016886","Manchester","48158,Michigan,United States","21155","US","Postal Code","Active","48158","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Manchester","MI","7562","yes"
"9016887","Maybee","48159,Michigan,United States","21155","US","Postal Code","Active","48159","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Maybee","MI","2505","yes"
"9016888","Milan","48160,Michigan,United States","21155","US","Postal Code","Active","48160","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Milan","MI","13375","yes"
"9016889","Monroe","48161,Michigan,United States","21155","US","Postal Code","Active","48161","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Monroe","MI","26469","yes"
"9016890","Monroe","48162,Michigan,United States","21155","US","Postal Code","Active","48162","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Monroe","MI","28300","yes"
"9016891","New Boston","48164,Michigan,United States","21155","US","Postal Code","Active","48164","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","New Boston","MI","8720","yes"
"9016892","New Hudson","48165,Michigan,United States","21155","US","Postal Code","Active","48165","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","New Hudson","MI","6799","yes"
"9016893","Newport","48166,Michigan,United States","21155","US","Postal Code","Active","48166","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Newport","MI","11480","yes"
"9016894","Northville","48167,Michigan,United States","21155","US","Postal Code","Active","48167","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Northville","MI","21982","yes"
"9016895","Northville","48168,Michigan,United States","21155","US","Postal Code","Active","48168","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Northville","MI","21798","yes"
"9016896","Pinckney","48169,Michigan,United States","21155","US","Postal Code","Active","48169","242","Lansing - Eradico Pest","19","Eradico","iRIS","Pinckney","MI","21047","yes"
"9016897","Plymouth","48170,Michigan,United States","21155","US","Postal Code","Active","48170","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Plymouth","MI","39352","yes"
"9016898","Rockwood","48173,Michigan,United States","21155","US","Postal Code","Active","48173","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Rockwood","MI","12481","yes"
"9016899","Romulus","48174,Michigan,United States","21155","US","Postal Code","Active","48174","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Romulus","MI","31267","yes"
"9016900","Salem","48175,Michigan,United States","21155","US","Postal Code","Active","48175","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Salem","MI","0","yes"
"9016901","Saline","48176,Michigan,United States","21155","US","Postal Code","Active","48176","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Saline","MI","22433","yes"
"9054166","Samaria","48177,Michigan,United States","21155","US","Postal Code","Active","48177","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Samaria","MI","271","yes"
"9016902","South Lyon","48178,Michigan,United States","21155","US","Postal Code","Active","48178","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","South Lyon","MI","32362","yes"
"9016903","South Rockwood","48179,Michigan,United States","21155","US","Postal Code","Active","48179","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","South Rockwood","MI","3763","yes"
"9016904","Taylor","48180,Michigan,United States","21155","US","Postal Code","Active","48180","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Taylor","MI","61716","yes"
"9016906","Trenton","48183,Michigan,United States","21155","US","Postal Code","Active","48183","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Trenton","MI","42374","yes"
"9016907","Wayne","48184,Michigan,United States","21155","US","Postal Code","Active","48184","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Wayne","MI","17143","yes"
"9016908","Westland","48185,Michigan,United States","21155","US","Postal Code","Active","48185","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Westland","MI","48027","yes"
"9016909","Westland","48186,Michigan,United States","21155","US","Postal Code","Active","48186","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Westland","MI","34199","yes"
"9016910","Canton","48187,Michigan,United States","21155","US","Postal Code","Active","48187","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Canton","MI","48278","yes"
"9016911","Canton","48188,Michigan,United States","21155","US","Postal Code","Active","48188","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Canton","MI","41373","yes"
"9016912","Whitmore Lake","48189,Michigan,United States","21155","US","Postal Code","Active","48189","242","Lansing - Eradico Pest","19","Eradico","iRIS","Whitmore Lake","MI","13865","yes"
