business:,'https://apply.pdx.edu/register/undergrad-minor?sys:field:ug_minor_inquiry=ea7d6d02-d5cb-4cd6-911b-d528184bc8a4','ea7d6d02-d5cb-4cd6-911b-d528184bc8a4'
business-economics:,'https://apply.pdx.edu/register/undergrad-program?sys:field:ug_acad_int=2ac77b61-b779-46b0-8350-508595d0b11f','2ac77b61-b779-46b0-8350-508595d0b11f'
business-technology-and-analytics:,'https://apply.pdx.edu/register/undergrad-program?sys:field:ug_acad_int=ba083dc1-8e4e-4cab-82f8-5c552e114684','ba083dc1-8e4e-4cab-82f8-5c552e114684'
business-technology-and-analytics-online:,'https://apply.pdx.edu/register/undergrad-program?sys:field:ug_acad_int=72e95d88-fa23-4735-89f2-cf1580fdebb6','72e95d88-fa23-4735-89f2-cf1580fdebb6'
campaigning-win-us-political-campaign:,'https://apply.pdx.edu/register/undergrad-program?sys:field:ug_acad_int=ca8a4aa6-b49e-47b2-9f77-41a8067aa784','ca8a4aa6-b49e-47b2-9f77-41a8067aa784'
chemsitry:,'https://apply.pdx.edu/register/undergrad-program?sys:field:ug_acad_int=c3f8949d-a21e-4729-a854-8c4c390d948d','c3f8949d-a21e-4729-a854-8c4c390d948d'
chicanxlatinx-studies:,'https://apply.pdx.edu/register/undergrad-program?sys:field:ug_acad_int=b720978e-d352-45b3-b35a-840cf861ef08','b720978e-d352-45b3-b35a-840cf861ef08'
chicanolatino-studies:,'https://apply.pdx.edu/register/undergrad-minor?sys:field:ug_minor_inquiry=cb50cd31-a56e-4ace-a59e-57a0fb39bd51','cb50cd31-a56e-4ace-a59e-57a0fb39bd51'
child-youth-and-family-studies:,'https://apply.pdx.edu/register/undergrad-program?sys:field:ug_acad_int=50615a50-be48-484e-9f8d-930bb558215f','50615a50-be48-484e-9f8d-930bb558215f'
civic-leadership:,'https://apply.pdx.edu/register/undergrad-minor?sys:field:ug_minor_inquiry=b4010185-04ef-4a26-b120-c7c9d36070ed','b4010185-04ef-4a26-b120-c7c9d36070ed'
