"crit","zip"
"9002162","02748"
"9002163","02760"
"9002165","02762"
"9002166","02763"
"9002167","02764"
"9002168","02766"
"9002169","02767"
"9002170","02769"
"9002171","02770"
"9002172","02771"
"9002173","02777"
"9002174","02779"
"9002175","02780"
"9002176","02790"
"9002178","02802"
"9002179","02804"
"9002180","02806"
"9002181","02807"
"9002182","02808"
"9002183","02809"
"9002184","02812"
"9002185","02813"
"9002186","02814"
"9002187","02815"
"9002188","02816"
"9002189","02817"
"9002190","02818"
"9002191","02822"
"9002192","02824"
"9002193","02825"
"9002194","02826"
"9002195","02827"
"9002196","02828"
"9002197","02830"
"9002198","02831"
"9002199","02832"
"9002200","02833"
"9002201","02835"
"9002202","02836"
"9002203","02837"
"9002204","02838"
"9002205","02839"
"9002206","02840"
"9002207","02842"
"9002208","02852"
"9002209","02857"
"9002210","02858"
"9002211","02859"
"9002212","02860"
"9002213","02861"
"9002214","02863"
"9002215","02864"
"9002216","02865"
"9002217","02871"
"9002218","02873"
"9002219","02874"
"9002220","02875"
"9002221","02876"
"9002222","02877"
"9002223","02878"
"9002224","02879"
"9002225","02881"
"9002226","02882"
"9002227","02885"
"9002228","02886"
"9002229","02888"
"9002230","02889"
"9002231","02891"
"9002232","02892"
"9002233","02893"
"9002234","02894"
"9002235","02895"
"9002236","02896"
"9002237","02898"
"9002238","02902"
"9002239","02903"
"9002240","02904"
"9002241","02905"
"9002242","02906"
"9002243","02907"
"9002244","02908"
"9002245","02909"
"9002246","02910"
"9002247","02911"
"9002248","02912"
"9002249","02914"
"9002250","02915"
"9002251","02916"
"9002252","02917"
"9002253","02919"
"9002254","02920"
"9002255","02921"
"9002256","03031"
"9002257","03032"
"9002258","03033"
"9002259","03034"
"9002260","03036"
"9002261","03037"
"9002262","03038"
"9002263","03042"
"9002264","03043"
"9002265","03044"
"9002266","03045"
"9002267","03046"
"9002268","03047"
"9002269","03048"
"9002270","03049"
"9002271","03051"
"9002272","03052"
"9002273","03053"
"9002274","03054"
"9002275","03055"
"9002276","03057"
"9002277","03060"
"9002278","03062"
"9002279","03063"
"9002280","03064"
"9002281","03070"
"9002282","03071"
"9002283","03076"
"9002284","03077"
"9002285","03079"
"9002286","03082"
"9002287","03084"
"9002288","03086"
"9002289","03087"
"9002290","03101"
"9002291","03102"
"9002292","03103"
"9002293","03104"
"9002294","03106"
"9002296","03109"
"9002297","03110"
"9002298","03215"
"9002299","03216"
"9002300","03217"
"9002301","03218"
