URL,Last crawled
https://www.pdx.edu/child-language-learning-center/veterans-resource-center/news?page=0&tid=labor,2023-12-12
https://www.pdx.edu/early-childhood-hub/queer-resource-center/academics/programs/undergraduate/applied-linguistics,2023-12-12
https://www.pdx.edu/early-childhood-hub/student-union/health-counseling/news?tid=education,2023-12-12
https://www.pdx.edu/early-childhood-hub/queer-resource-center/news/portland-winter-light-festival-has-roots-deep-within-psus-college-arts,2023-12-12
https://www.pdx.edu/early-childhood-hub/engineering/news?page=23,2023-12-12
https://www.pdx.edu/syndication/architecture/news/portland-state-laser-mapping-project-shows-landscape-changes-antarctica,2023-12-12
https://www.pdx.edu/early-childhood-hub/cultural-resource-centers/admissions,2023-12-12
https://www.pdx.edu/environmental-science/seed-bank/news/currently-accolades-presented-february-6-2022,2023-12-12
"https://www.pdx.edu/liberal-arts-sciences/news?tid=%22economy, business and 
finance%22",2023-12-12
https://www.pdx.edu/student-financial/resources,2023-12-12
https://www.pdx.edu/early-childhood-hub/dean-student-life,2023-12-12
https://www.pdx.edu/education/fire-prevention/news/dwsc-conference-coming-psu,2023-12-12
https://www.pdx.edu/turkish-studies-center/liberal-arts-sciences/student-legal-services/news?page=4&tid=health,2023-12-12
"https://www.pdx.edu/early-childhood-hub/disability-resource-center/calendar/day?tid=global 
events",2023-12-12
https://www.pdx.edu/child-language-learning-center/gradschool/news/portland-state-and-thedreamus-partner-support-oregon-dreamers-scholarships,2023-12-12
https://www.pdx.edu/turkish-studies-center/students-with-children/calendar/week?tid=theater,2023-12-12
https://www.pdx.edu/syndication/architecture/news/new-research-uncovers-safety-concerns-some-air-purifiers-marketed-covid-19,2023-12-12
https://www.pdx.edu/turkish-studies-center/cultural-resource-centers/mcnair-program/news?tid=health,2023-12-12
https://www.pdx.edu/judaic-studies/judaic-studies/internships,2023-12-12
https://www.pdx.edu/syndication/writing-center/transfer-center/news/home-away-home,2023-12-12
https://www.pdx.edu/child-language-learning-center/alumni/news/hamilton-cheifetz-named-florestan-professor-cello,2023-12-12
https://www.pdx.edu/turkish-studies-center/social-work/diversity/sites/ondeck.web.wdt.pdx.edu/files/google_tag/psu_gtm_container/google_tag.script.js?s5jq2z,2023-12-12
https://www.pdx.edu/syndication/writing-center/sites/ondeck.web.wdt.pdx.edu/files/google_tag/psu_gtm_container/google_tag.script.js?s5jq2z,2023-12-12
https://www.pdx.edu/child-language-learning-center/diversity/events/classical-ballet-academy-childrens-nutcracker-6,2023-12-12
https://www.pdx.edu/technology/sites/informationtechnology.web.wdt.pdx.edu/files/google_tag/psu_gtm_container/google_tag.script.js?s35flc,2023-12-12
https://www.pdx.edu/admissions/housing/sites/admissions.web.wdt.pdx.edu/files/google_tag/psu_gtm_container/google_tag.script.js?s59jbq,2023-12-12
https://www.pdx.edu/syndication/writing-center/urban-public-affairs/events/steps-pdx-presents-nightmare-christmas-0,2023-12-12
https://www.pdx.edu/child-language-learning-center/university-studies/sites/ondeck.web.wdt.pdx.edu/files/google_tag/psu_gtm_container/google_tag.script.js?s59jfd,2023-12-12
