ZIP Code,City,County,Type,Population,ZIP Code
94525,Crockett,Contra Costa,Standard,3142,94525
94511,Bethel Island,Contra Costa,P.O. Box,2379,94511
94514,Byron,Contra Costa,Standard,1593,94514
94575,Moraga,Contra Costa,Standard,1174,94575
94528,Diablo,Contra Costa,P.O. Box,552,94528
94548,Knightsen,Contra Costa,P.O. Box,418,94548
94569,Port Costa,Contra Costa,P.O. Box,194,94569
94516,Canyon,Contra Costa,P.O. Box,128,94516
94522,Concord,Contra Costa,P.O. Box,0,94522
94524,Concord,Contra Costa,P.O. Box,0,94524
94527,Concord,Contra Costa,P.O. Box,0,94527
94529,Concord,Contra Costa,Unique,0,94529
94820,El Sobrante,Contra Costa,P.O. Box,0,94820
94570,Moraga,Contra Costa,P.O. Box,0,94570
94802,Richmond,Contra Costa,P.O. Box,0,94802
94807,Richmond,Contra Costa,P.O. Box,0,94807
94808,Richmond,Contra Costa,P.O. Box,0,94808
94850,Richmond,Contra Costa,Standard,0,94850
95531,Crescent City,Del Norte,Standard,23092,95531
95567,Smith River,Del Norte,Standard,2133,95567
95548,Klamath,Del Norte,Standard,1228,95548
95543,Gasquet,Del Norte,Standard,989,95543
95532,Crescent City,Del Norte,Unique,0,95532
95538,Fort Dick,Del Norte,P.O. Box,0,95538
95762,El Dorado Hills,El Dorado,Standard,41709,95762
95667,Placerville,El Dorado,Standard,36717,95667
95682,Shingle Springs,El Dorado,Standard,30304,95682
96150,South Lake Tahoe,El Dorado,Standard,29103,96150
95726,Pollock Pines,El Dorado,Standard,9152,95726
95672,Rescue,El Dorado,Standard,5225,95672
95709,Camino,El Dorado,Standard,5001,95709
95619,Diamond Springs,El Dorado,Standard,4966,95619
95614,Cool,El Dorado,Standard,4360,95614
95633,Garden Valley,El Dorado,Standard,3760,95633
95623,El Dorado,El Dorado,Standard,3734,95623
95684,Somerset,El Dorado,Standard,3260,95684
95634,Georgetown,El Dorado,Standard,3027,95634
95664,Pilot Hill,El Dorado,Standard,1372,95664
95636,Grizzly Flats,El Dorado,Standard,954,95636
95635,Greenwood,El Dorado,Standard,870,95635
95651,Lotus,El Dorado,Standard,778,95651
96142,Tahoma,El Dorado,P.O. Box,578,96142
95720,Kyburz,El Dorado,Standard,42,95720
95721,Echo Lake,El Dorado,P.O. Box,14,95721
95735,Twin Bridges,El Dorado,Standard,2,95735
95613,Coloma,El Dorado,P.O. Box,0,95613
95656,Mount Aukum,El Dorado,P.O. Box,0,95656
96151,South Lake Tahoe,El Dorado,P.O. Box,0,96151
96152,South Lake Tahoe,El Dorado,P.O. Box,0,96152
96154,South Lake Tahoe,El Dorado,P.O. Box,0,96154
96155,South Lake Tahoe,El Dorado,P.O. Box,0,96155
96156,South Lake Tahoe,El Dorado,P.O. Box,0,96156
96157,South Lake Tahoe,El Dorado,P.O. Box,0,96157
96158,South Lake Tahoe,El Dorado,P.O. Box,0,96158
93722,Fresno,Fresno,Standard,84481,93722
93727,Fresno,Fresno,Standard,81118,93727
93611,Clovis,Fresno,Standard,48759,93611
93720,Fresno,Fresno,Standard,46813,93720
93702,Fresno,Fresno,Standard,44650,93702
93726,Fresno,Fresno,Standard,42610,93726
93706,Fresno,Fresno,Standard,40471,93706
93705,Fresno,Fresno,Standard,38315,93705
93711,Fresno,Fresno,Standard,37173,93711
93612,Clovis,Fresno,Standard,35625,93612
93657,Sanger,Fresno,Standard,35093,93657
93619,Clovis,Fresno,Standard,34587,93619
93703,Fresno,Fresno,Standard,33143,93703
93710,Fresno,Fresno,Standard,32410,93710
93654,Reedley,Fresno,Standard,31093,93654
93662,Selma,Fresno,Standard,30454,93662
93704,Fresno,Fresno,Standard,28491,93704
93725,Fresno,Fresno,Standard,27239,93725
93630,Kerman,Fresno,Standard,20133,93630
93210,Coalinga,Fresno,Standard,18163,93210
93631,Kingsburg,Fresno,Standard,16206,93631
