Criteria ID,Name ,CName,Parent ID,Country Code,Target Type ,Status,Zip Code,District,Name,Region,Brand,System,City,State,Population,New Res.
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48605,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Saginaw,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48606,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Saginaw,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48608,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Saginaw,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48641,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Midland,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48663,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Saginaw,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48686,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Midland,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48707,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Bay City,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48710,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,University Center,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48736,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Gilford,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48758,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Richville,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48764,243,Western Michigan - Eradico Pest,19,Eradico,iRIS,Tawas City,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48769,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Vassar,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48802,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Alma,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48804,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Mount Pleasant,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48805,242,Lansing - Eradico Pest,19,Eradico,iRIS,Okemos,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48826,242,Lansing - Eradico Pest,19,Eradico,iRIS,East Lansing,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48830,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Elm Hall,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48833,242,Lansing - Eradico Pest,19,Eradico,iRIS,Eureka,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48844,242,Lansing - Eradico Pest,19,Eradico,iRIS,Howell,MI,0,yes
